Workers	Throughput	Goodput	Latency
5	112.1118036	112.1118036	0.008919667
6	107.5071933	107.5071933	0.009301703
7	75.95633639	75.95633639	0.013165459
8	98.12524964	98.12524964	0.010191057
9	116.0995714	116.0995714	0.008613296
10	111.4715221	111.4715221	0.008970901
11	112.7754281	112.7754281	0.00886718
12	110.1132597	110.1132597	0.009081558
13	116.5029764	116.5029764	0.008583472
14	112.0508765	112.0508765	0.008924517
15	98.43364315	98.43364315	0.010159128
16	92.48496803	92.48496803	0.010812568
17	116.8827315	116.8827315	0.008555584
18	112.8647868	112.8647868	0.008860159
19	95.90884952	95.90884952	0.010426567
